ind_Latn,sun_Latn
Puncak yang sekarang ini tidak ditumbuhi vegetasi karena aktivitas vulkanik yang tinggi.,Puncak hadir teu ditutupan ku vegetasi kusabab aktivitas vulkanik tinggi.
Puncak ini tumbuh di sisi barat daya puncak Batulawang yang lebih tua.,Puncak ieu tumuwuh di sisi kidul-kulon ti gempungan Batulawang heubeul.
"Proses pembentukan Gunung Merapi telah dipelajari dan dipublikasi sejak 1989 dan seterusnya. Berthomier, seorang sarjana Prancis, membagi perkembangan Merapi dalam empat tahap. Tahap pertama adalah Pra-Merapi (sampai 400.000 tahun yang lalu), yaitu Gunung Bibi yang bagiannya masih dapat dilihat di sisi timur puncak Merapi.","Prosés formasi Gunung Tampomas geus diajarkeun jeung diterbitkeun saprak 1989 jeung saterusna. Berthomier, saurang sarjana Perancis, meulah ngembangkeun Merapi di opat hambalan. Tahap kahiji nyaeta pre-Merapi (mun 400.000 taun ka tukang), nyaéta bagian Gunung Bibi bisa kénéh ditempo di sisi wétan ti puncak Merapi."
Tahap Merapi Tua terjadi ketika Merapi mulai terbentuk namun belum berbentuk kerucut (60.000 - 8000 tahun lalu).,"Heubeul Merapi tahap lumangsung nalika Merapi kabentuk, tapi henteu acan kerucut (60000-8000 sababaraha taun ka pengker)."
"Sisa-sisa tahap ini adalah Bukit Turgo dan Bukit Plawangan di bagian selatan, yang terbentuk dari lava basaltik.","Sésa tahap ieu Pasir Turgo jeung Pasir Plawangan di bagian kidul, nu diwangun ku lahar basaltik."
"Selanjutnya adalah Merapi Pertengahan (8000 - 2000 tahun lalu), ditandai dengan terbentuknya puncak-puncak tinggi, seperti Bukit Gajahmungkur dan Batulawang, yang tersusun dari lava andesit.","Hareup nepi teh Merapi Tengah (8000 - 2000 taun ka tukang), dicirikeun ku formasi nu puncak tinggi, kayaning Gunung Gajahmungkur sarta Batulawang, nu diwangun ku lahar andesit."
"Proses pembentukan pada masa ini ditandai dengan aliran lava, breksiasi lava, dan awan panas. Aktivitas Merapi telah bersifat letusan efusif (lelehan) dan eksplosif.","Prosés formasi jaman ieu ditandaan ku aliran lava, brecciation lava sarta awan panas. aktivitas Merapi urang boga janten letusan effusive (ngalembereh) jeung ngabeledug."
"Diperkirakan juga terjadi letusan eksplosif dengan runtuhan material ke arah barat yang meninggalkan morfologi tapal kuda dengan panjang 7 km, lebar 1–2 km dengan beberapa bukit di lereng barat.","Ieu ogé diperkirakeun letusan ngabeledug jeung ruruntuhan bahan ka kulon anu ninggalkeun morfologi tapal kuda kalayan panjang 7 km, rubak 1-2 km kalawan sababaraha pasir di lamping kulon."
Kawah Pasarbubar (atau Pasarbubrah) diperkirakan terbentuk pada masa ini.,Kawah Pasarbubar (atawa Pasarbubrah) anu dibentuk dina période ieu.
"Puncak Merapi yang sekarang, Puncak Anyar, baru mulai terbentuk sekitar 2000 tahun yang lalu.","Merapi puncak ayeuna, puncak Anyar, ngan mimiti ngabentuk ngeunaan 2.000 taun ka tukang."
"Dalam perkembangannya, diketahui terjadi beberapa kali letusan eksplosif dengan VEI 4 berdasarkan pengamatan lapisan tefra.","Dina prosés, anu dipikawanoh pikeun lumangsung sababaraha kali hiji letusan ngabeledug jeung VEI 4 dumasar kana lapisan observasi tefra ."
Karakteristik letusan sejak 1953 adalah desakan lava ke puncak kawah disertai dengan keruntuhan kubah lava secara periodik dan pembentukan awan panas (nuée ardente) yang dapat meluncur di lereng gunung atau vertikal ke atas.,Ciri tina letusan saprak 1953 téh desekan lava ka luhureun kawah dibiruyungan runtuhna periodik sahiji kubah lava jeung formasi awan panas (nuee ardente) nu bisa geser dina lamping atawa vertikal ka luhur.
Letusan tipe Merapi ini secara umum tidak mengeluarkan suara ledakan tetapi desisan.,Letusan Merapi tipe ieu umumna teu ngaluarkeun sora ledakan tapi ngahéos.
Kubah puncak yang ada sampai 2010 adalah hasil proses yang berlangsung sejak letusan gas 1969.,Puncak Kubah nu aya nepi 2010 nyaéta hasil tina prosés anu lumangsung ti letusan gas 1969.
"Pakar geologi pada tahun 2006 mendeteksi adanya ruang raksasa di bawah Merapi berisi material seperti lumpur yang ""secara signifikan menghambat gelombang getaran gempa bumi"".","Pakar Géologi taun 2006 ngadetéksi ayana spasi buta handapeun Merapi ngandung bahan kayaning lumpur anu ""nyata nyegah gelombang Geter ti lini""."
Para ilmuwan memperkirakan material itu adalah magma. Kantung magma ini merupakan bagian dari formasi yang terbentuk akibat menghunjamnya Lempeng Indo-Australia ke bawah Lempeng Eurasia.,Ilmuwan ngira-ngira yén bahan ieu magma. Kantong magma mangrupa bagéan ti formasi dibentuk ku menghunjamnya plat Indo-Australia dina éta Eurasia plat .
"Beringin (Ficus benjamina dan beberapa jenis (genus) Ficus lain dari suku ara-araan atau Moraceae), yang disebut juga waringin atau (agak keliru) ara (ki ara, ki berarti “pohon”), dikenal sebagai tumbuhan pekarangan dan tumbuhan hias pot. Pemulia telah mengembangkan beringin berdaun loreng (variegata) yang populer sebagai tanaman hias ruangan.","(Ficus benjamina sarta sababaraha jenis ( genus ) Ficus sejen tina suku ara-araan atanapi Moraceae ), nu disebut oge waringin atanapi (rada erroneously) ara (ki ara, ki hartina ""tangkal""), katelah buruan tutuwuhan jeung pepelakan pot hias , Sunda geus ngembangkeun hiji daun belang Caringin (Variegated) nu kasohor salaku pepelakan hias indoor."
Beringin juga sering digunakan sebagai objek bonsai.,Banyan ogé mindeng dipaké minangka objek bonsai .
Diakses tanggal 2009-02-17.,Diakses tanggal 2009-02-17.
Beringin sangat akrab dengan budaya asli Indonesia. Tumbuhan berbentuk pohon besar ini sering kali dianggap suci dan melindungi penduduk setempat. Sesaji sering diberikan di bawah pohon beringin yang telah tua dan berukuran besar karena dianggap sebagai tempat kekuatan magis berkumpul.,Caringin raket patalina jeung budaya pribumi Indonésia. tutuwuhan tangkal ngawangun badag ieu mindeng dianggap sakral sarta ngajaga panduduk sakitar. sasajen anu mindeng dibikeun handapeun tangkal Caringin anu heubeul na badag sabab dianggap salaku tempat pikeun ngumpulkeun kakuatan magis.
Beberapa orang menganggap tempat di sekitar pohon beringin adalah tempat yang “angker” dan perlu dijauhi.,"Sababaraha urang mikirkeun tempat sabudeureun tangkal caringin mangrupakeun ""pikasieunen"" jeung kudu dijauhan"
"Beringin adalah tanaman asli dari Asia, Malaysia, Australia, and beberapa wilayah Pasifik lainnya.","Caringin nyaéta pituin Asia , Malaysia , Australia , jeung sababaraha wewengkon sejenna Pasifik."
Beringin juga dikenalkan ke daerah-daerah lainnya sebagai hiasan.,Caringin ogé geus dipikawanohkeun ka wewengkon séjén salaku garnish a.
"Spesies ini dilaporkan langka di Pulau Marshall, dengan hanya satu pohon yang tumbuh di dekat desa.","Spésiés ieu téh dikabarkan langka di Kapuloan Marshall, kalawan ngan hiji tangkal anu tumuwuh di deukeut kampung."
Gunung Lokon pada Oktober 1991 pernah meletus yang menimbulkan kerugian material mencapai Rp 1 miliar.,Gunung Lokon bitu dina Oktober 1991 ngabalukarkeun karugian bahan ngahontal $ 1 milyar.
"Ribuan jiwa penduduk di Desa Kakaskasen I, Kakaskasen II, Kinilow dan Tinoor, ketika itu setempat diungsikan besar-besar ke sejumlah daerah yang dinilai tidak rawan karena atap ribuan rumah penduduk hancur dihantam batu dan debu setebal 15 sampai 20 cm.","Rébuan pangeusi di kampung Kakaskasen I, Kakaskasen II, Kinilow na Tinoor, nalika lokal badag ngungsi ka sajumlah wewengkon dianggap rawan alatan hateup tina rébuan imah ancur ku batu jeung lebu sakumaha kandel salaku 15 nepi ka 20 cm."
"Dalam musibah tersebut, seorang wisatawan asal Swiss, Vivian Clavel yang berkunjung saat terjadi letusan hebat itu tidak dapat ditemukan.","Dina musibah éta, hiji wisata ti Swiss, Vivian Clavel anu didatangan salila letusan hébat teu bisa kapanggih."
Ia dipastikan tewas tertimbun longsoran lahar dingin.,Anjeunna dikonfirmasi maot kakubur ku hiji longsoran ti lava tiis.
"Waktu meletus pada 2001, sebagian wilayah Kota Manado yang berjarak sekitar 25 Km dari gunung itu, ditutupi hujan debu yang mengguyur disebabkan karena tiupan angin.","Waktos bitu taun 2001, sababaraha area Kota Manado , nu kira kira 25 Km ti gunung, katutupan hujan lebu nu ngaguyur lantaran alatan angin."
Material debu yang dikeluarkan dari kawah gunung api ini berbentuk lava pijar dan ketinggiannya diperkirakan mencapai 400 meter.,Lebu bahan dipancarkeun ti lava kawah ngawangun éta gunung sarta kira luhurna 400 méter.
Letusan ini tidak sebesar letusan tahun 1991.,Letusan ieu teu bitu sakumaha badag dina taun 1991.
"Pada Kamis, 14 Juli 2011 pukul 22:45 WITA gunung Lokon di kawah Tompaluan meletus dengan lontaran material pijar, pasir, dan hujan abu setinggi sekitar 1.500 meter..","Dina Kemis, 14 Juli 2011 dina 22:45 pm Gunung Lokon di kawah Tompaluan bitu sareng burst tina bahan Pijer, pasir, jeung lebu saluhur 1.500 méter."
"Selanjutnya, letusan kembali terjadi pada Jumat dini hari sekitar pukul 01.30 Wita dengan lontaran material vulkanik setinggi 600 meter. Letusan ini mengakibatkan lebih dari 10.000 warga di beberapa desa, di antaranya Kinilow, Tinoor, dan Kakaskasen mengungsi ke Tomohon atau Manado. Sedikitnya dalam sehari setelah letusan telah dua warga meninggal sebagai akibat tidak langsung dari letusan.",", Saterusna, letusan lumangsung Jumaah isuk di sabudeureun 01,30 WIB ku burst tina bahan vulkanik saluhur 600 méter. Letusan ieu nyababkeun leuwih ti 10.000 warga di sababaraha désa, kaasup Kinilow , Tinoor , sarta Kakaskasen ngungsi ka Tomohon atanapi Manado. Sahenteuna sapoé sanggeus bitu dua urang maot salaku hasil teu langsung tina letusan."
Referensi,Rujukan
"Gunung Lokon adalah sebuah gunung di dekat Kota Tomohon, Provinsi Sulawesi Utara.","Gunung Lokon mangrupa gunung deukeut Tomohon , Propinsi Sulawesi Utara ."
Gunung ini memiliki ketinggian 1.580 m dari permukaan laut.,Gunung ieu luhurna 1.580 mdpl.
Puncak gunung Lokon berjarak sekitar 5.300 meter di sebelah barat laut dari Kota Tomohon dan sekita 6.700 meter di sebelah barat daya dari kota kecamatan Pineleng.,Puncak Gunung Lokon jarakna sekitar 5.300 méter kalér-kuloneun Tomohon jeung sekitar 6.700 méter Langkaplancar sahiji kabupaten kota Pineleng .
Dari ibukota provinsi Manado jaraknya hanya sekitar 20 kilometer di barat daya kota.,Ti ibukota propinsi di Manado éta ukur kira 20 kilométer Langkaplancar kota.
Letusan,Bibitu
Terjadi letusan pada tahun ini yang tidak sehebat letusan tahun 1991 dan 2011.,Letusan di taun ieu teu sakumaha kuat dina taun 1991 sarta 2011.
"Fatimah binti Muhammad (606/614 - 632) atau lebih dikenal dengan Fatimah az-Zahra (Fatimah yang selalu berseri) (Bahasa Arab: فاطمة الزهراء) putri bungsu Nabi Muhammad dari perkawinannya dengan istri pertamanya, Khadijah.","Fatimah binti Muhammad (606/614 - 632) atawa anu leuwih dipikawanoh salaku Fatimah (Fatimah nu teu welèh suranyèh) ( basa Arab : فاطمة الزهراء) putri bungsu Nabi Muhammad ti nikahna ka pamajikan kahijina, Khadijah ."
"Tatkala Aisyah bertanya tentang apa yang dibisikannya lalu Fatimah menjawab,” Saya tak ingin membuka rahasia”.","Nalika Aisyah ditaros ngeunaan naon harèosna lajeng Fatimah ngawaler, ""Kuring teu hayang ngabukakeun rahasia""."
"Setelah Rasulullah wafat, Aisyah bertanya lagi kepada Fatimah tentang apa yang dibisikan Rasulullah kepadanya sehingga membuat Fatimah menangis dan tersenyum.","Sapupusna Rasulullah wafat, Aisyah naros deui ka Fatimah naon nu diharèoskeun nu ngajadikeun Fatimah nangis sarta seuri."
"Lalu Fatimah menjawab, ”Adapun yang baginda katakan kepadaku pertama kali adalah baginda memberitahu bahwa sesungguhnya Jibril telah membacakan al-Qur’an dengan hafalan kepada baginda setiap tahun sekali, sekarang dia membacakannya setahun 2 kali, lalu baginda berkata, “Sungguh Aku melihat ajalku telah dekat, maka bertakwalah dan bersabarlah, sebaik-baiknya Salaf (pendahulu) untukmu adalah Aku”.","Lajeng Fatimah ngawaler, ""Salaku raja ngomong ka kuring kahiji waktos ieu raja ka manéhna yén Jibril kungsi sabenerna maca Qur'an ku hapalan ka raja unggal sataun sakali, ayeuna anjeunna maca eta sataun dua kali, lajeng raja ngomong,"" Sabenerna kuring ningali ajal kuring geus deukeut, jadi sieun sarta jadi sabar, nu pangalusna Salaf (miheulaan) pikeun anjeun téh kuring ""."
Maka akupun menangis yang engkau lihat saat kesedihanku.,Lajeng abdi bakal ceurik lamun nu katingali sedih.
"Dan saat baginda membisikan yang kedua kali, baginda berkata, ”Wahai Fatimah apakah engkau tidak suka menjadi penghulu wanita-wanita penghuni surga dan engkau adalah orang pertama dari keluargaku yang akan menyusulku”.","Sarta nalika raja ngaharèos kadua kalina, raja ngomong, ""O Fatimah lamun teu laksana jadi pangeran nu awéwé ahli sawarga jeung anjeun jalma mimiti ti kulawarga kuring bisa nyusul kuring""."
Kemudian saya tertawa.,Lajeng abdi seuseurian.
"Tatkala 6 bulan sejak wafatnya Rasulullah Shallallahu alaihi wassalam, Fatimah jatuh sakit, namun ia merasa gembira karena kabar gembira yang diterima dari ayahnya.","Nalika genep bulan saprak pupusna Nabi shallallahu alaihi wassalam, Fatimah gering, tapi anjeunna bungah yén nampi berita bagja ti bapana."
Tak lama kemudian iapun beralih ke sisi Tuhannya pada malam Selasa tanggal 13 Ramadhan tahun 11 H dalam usia 27 tahun.,Teu lami deui manehna maot ka Gusti dina malem Salasa teh 13th Ramadan 11 H dina yuswa 27 taun.
Keluarga,Kulawarga
Pernikahan,Perkawinan
"Ketika usianya beranjak dewasa, Fatimah Az-Zahra dipersunting oleh salah satu sepupu, sahabat sekaligus orang kepercayaan Rasulullah, Ali bin Abi Thalib.","Nalika anjeunna tumuwuh, Fatimah Az-Zahra dipersunting ku salah sahiji dulur , sobat jeung kapercayaan Nabi, Ali bin Abi Tholib ."
"Pernikahan yang indah, dengan bermahar baju besi yang dahulu di berikan oleh Rasulullah kepada Ali, kini menjadi mahar untuk anaknya.","Perkawinan nu èndah, jeung mahar baju beusi nu baheulana dibèrèkeun ku Nabi ka Ali, kiwari mangrupa mas kawin pikeun putrina."
Keturunan,Luluhur
"Dari pernikahannya dengan Ali bin Abi Thalib, Fatimah Az Zahra memiliki 4 anak, 2 putra dan 2 putri.","Ti nikahna ka Ali bin Abi Tholib, Fatimah miboga 4 barudak, 2 putra na 2 putri."
2 putra yaitu Hasan dan Husain. Sedangkan yang putri yaitu Zainab dan Ummu Kultsum.,Dua putra Hasan jeung Husayn.Sedengkeun putri kasebut Zaynab sarta Ummu Kulsum.
Hasan dan Husain sangat disayangi oleh Rasulullah Shalallahu Alaihi Waalihi Wassalam.,Hasan jeung Husain anu pisan dipikanyaah ku utusan Rasulullaah Shalallahu alaihi Waalihi Wassalam.
"Sebenarnya ada satu lagi anak Fatimah Az Zahra bernama Muhsin ,tetapi Muhsin meninggal dunia karena keguguran.","Sabenerna aya hiji anak Fatimah ngaranna Muhsin, tapi Muhsin maot kusabab kaguguran."
Kesayangan ayahnya,Kanyaah bapana
"Fatimah Az-Zahra tumbuh menjadi seorang gadis yang tidak hanya merupakan putri dari Rasulullah, namun juga mampu menjadi salah satu orang kepercayaan ayahnya pada masa baginda.",Fatimah Az-Zahra tumuwuh nepi ka jadi gadis anu bisa jadi salah sahiji kapercayaan ramana raja urang di mangsa nu bakal datang.
"Fatimah Az-Zahra memiliki kepribadian yang sabar,dan penyayang karena dan tidak pernah melihat atau dilihat lelaki yang bukan mahromnya.","Fatimah Az-Zahra boga kapribadian nu sabar, jeung miara teu pernah ningali atawa ditempo saurang lalaki anu teu mahromna."
"Rasullullah sering sekali menyebutkan nama Fatimah, salah satunya adalah ketika Rasulullah pernah berkata "" Fatimah merupakan bidadari yang menyerupai manusia"".","Rasullullah mindeng nyebut nami Fatimah, salah sahiji nu nalika Nabi sakali ngomong, ""Fatimah nyaeta malaikat anu nyarupaan manusa""."
Kelahiran & Kehidupan Keluarga,Kalahiran jeung Kahirupan kulawarga
Catatan,Catetan
"Pemimpin wanita pada masanya ini adalah putri ke 4 dari anak anak Rasulullah Shallallahu alaihi wassalam, dan ibunya adalah Ummul Mukminin Khadijah binti Khuwalid.","Pamimpin awéwé ieu dina waktosna nyaéta putri ti 4 anak Nabi shallallahu alaihi wassalam, sarta indungna nyaèta Ummul Mukminin Khadijah binti Khuwalid."
"Sesungguhnya Allah Subhanahu wa ta’ala menghendaki kelahiran Fatimah yang mendekati tahun ke 5 sebelum Muhammad diangkat menjadi Rasul, bertepatan dengan peristiwa besar yaitu ditunjuknya Rasulullah sebagai penengah ketika terjadi perselisihan antara suku Quraisy tentang siapa yang berhak meletakan kembali Hajar Aswad setelah Ka’bah diperbaharui.","Saèstuna Alloh Subhanahu wa ta'ala mikahayang Fatimah kalahiran pikeun 5 taun sateuacan Muhammad diangkat jadi Rosul, waktuna tepat jeung kajadian nu penting nyaéta janjian Nabi salaku mediator nalika aya papaséaan antara suku tina Quraisy ngeunaan saha nu boga hak pikeun nyimpen deui Batu Hideung sanggeus Ka'bah dirobah."
Dengan kecerdasan akalnya baginda mampu memecahkan persoalan yang hampir menjadikan peperangan di antara kabilah-kabilah yang ada di Makkah.,Kalawan akal kecerdasan baginda anu bisa ngajawab masalah anu ampir ngajadikeun perang antara suku di Makkah.
